,,,,,,,,,,,,,,,Normalised abundance,,,,,,Raw abundance,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,BLANK,,,sample,,,BLANK,,,sample,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,blank01,blank02,blank03,sample1,sample2,sample3,blank01,blank02,blank03,sample1,sample2,sample3,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
20.87_278.1487n,278.1486864,279.1559361,1,20.87483333,0.5628,0,6.26E-05,8.10E-05,5.862952887,ZYF,BLANK,100 - 14.5 - 1.91,90355.85063,5.29,12588.28722,17022.75478,16622.92186,86012.25022,95472.35555,89582.94613,6828.912607,3663.479254,4892.473128,86012.25022,94717.80546,95057.43325,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
19.63_483.2207n,483.220743,522.2034853,1,19.62991667,0.33665,0,0.389131853,0.145374697,2.56909938,BLANK,ZYF,100 - 38.4 - 12.4,10715.06797,21.32,31930.41216,19.37999789,195.4117465,3159.684611,4521.301212,4831.26036,17321.65706,4.170783232,57.5137588,3159.684611,4485.56785,5126.502632,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
23.58_719.4389n,719.4389484,720.4462248,1,23.57883333,0.129166667,0,0.132241677,0.076092181,5.014260786,BLANK,ZYF,100 - 28.7 - 0.825,9903.587353,83.13,2270.891852,8812.45806,18627.41215,3838.922743,1565.952435,520.3774815,1231.916759,1896.535414,5482.436489,3838.922743,1553.576187,552.1781751,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
24.05_961.5591n,961.5591467,962.5664231,1,24.05196667,0.145833333,0,0.744934054,0.238263285,4.760096239,BLANK,ZYF,100 - 24.2 - 28.4 - 3.07,4417.130239,72.82,0,3371.930123,9879.460594,368.6511765,1678.772176,736.4259751,0,725.6754979,2907.731618,368.6511765,1665.504276,781.4295688,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
24.57_753.4768n,753.4767861,736.4400226,1,24.56926667,0.228816667,1,0.126123976,0.073913251,12.44131892,BLANK,ZYF,100 - 30.6,32080.09846,69.81,2360.580685,42515.34932,51364.36537,4657.105654,1547.246929,1531.185427,1280.571289,9149.758791,15117.60564,4657.105654,1535.018517,1624.757421,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
19.63_401.1801n,401.1801496,384.1744636,1,19.62991667,0.512633333,0,0.761556891,0.242044845,4.035633702,BLANK,ZYF,100 - 45.1,14904.62702,12.29,43508.96782,927.0342296,277.8789986,3173.117848,4008.744464,3897.904671,23602.809,199.5077008,81.7855937,3173.117848,3977.06201,4136.108815,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
19.62_613.2499n,613.2498842,614.2570197,1,19.61925,0.4553,0,0.524581275,0.182889494,137.6045728,BLANK,ZYF,100 - 26.8 - 17.6,46554.78681,40.46,138929.8201,687.3048108,47.23555358,209.5223823,323.3772688,482.069238,75366.85357,147.9153608,13.90241009,209.5223823,320.8215096,511.5288835,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
19.62_415.1964n,415.196402,398.1893676,1,19.61925,0.522966667,0,0.88692404,0.270381413,7.825878294,BLANK,ZYF,100 - 28.6,23503.03373,7.38,69367.23863,180.4956151,961.3669394,3036.426681,3206.328542,2766.98126,37630.44186,38.84459066,282.9503715,3036.426681,3180.98785,2936.073749,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
27.89_310.2105n,310.2104773,349.1957821,1,27.88705,0.12665,0,0.222138297,0.113145071,12.58855751,BLANK,ZYF,100 - 16.2,7297.191851,78.22,19321.267,2131.693228,438.6153286,1041.244348,134.832557,562.9289765,10481.4294,458.763227,129.0936531,1041.244348,133.76693,597.3300268,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
29.92_372.2645n,372.2645318,395.2537525,1,29.92391667,0.153783333,0,0.564452817,0.193656604,1.188226141,ZYF,BLANK,100 - 26.9,34605.93477,90.53,0,36002.3366,51369.75592,0,0,103817.8043,0,7748.088658,15119.19219,0,0,110162.1953,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
29.52_310.2106n,310.2106118,349.1959748,1,29.51743333,0.187983333,0,0.284505746,0.137123858,6.569536101,ZYF,BLANK,100 - 10.8,3519.412276,87.96,0,721.0740474,886.0770003,9049.455619,585.2514653,923.5297423,0,155.1828624,260.7909698,9049.455619,580.6260264,979.9674004,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
13.04_388.2076n,388.2075869,389.2148633,1,13.03533333,1.460233333,4,0.000185419,0.000219226,1806.117234,ZYF,BLANK,100 - 31.9 - 8.4,515391.643,8.04,69.09111341,450.0143533,336.9712594,562698.7696,485599.0493,497877.11,37.48064904,96.84791143,99.17768037,562698.7696,481761.1969,528302.7875,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
13.82_193.0700n,193.0699807,194.0772571,1,13.82078333,0.42265,0,1.22E-05,1.87E-05,2627.08252,ZYF,BLANK,100 - 9.78 - 0.326,118309.2263,7.15,25.60524978,71.45878928,38.03932227,127913.3202,115050.1795,111964.1793,13.89037364,15.37869724,11.19576712,127913.3202,114140.8993,118806.4019,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
14.82_268.1637n,268.1637124,251.1604242,1,14.81773333,1.011933333,0,1.76E-05,2.59E-05,31.31970476,ZYF,BLANK,100 - 13.1 - 0.235,105876.2264,5.69,2861.917428,4382.338445,2897.240726,112191.5769,105240.7461,100196.3564,1552.537185,943.1261969,852.7184639,112191.5769,104408.9931,106319.4377,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
15.28_226.1168n,226.1168441,209.1135558,1,15.27603333,0.670783333,0,0.000367713,0.000407676,751.2334883,ZYF,BLANK,100 - 12.7 - 1.29,136923.3929,8.7,52.5237928,80.71623007,413.5542629,150678.5563,129874.2955,130217.3269,28.49318454,17.37099771,121.717658,150678.5563,128847.8553,138175.0142,,,"M+H-H2O, M+H, M+Na, M+K",,,,,,,
